517190         123,521      125,934
517190           126,3      128,88
517190          121,43      123,855
517190         125,925      128,507
517190         122,031      125,213
517190         121,126      122,792
517190         122,208      123,781
517190         122,622      124,412
517190         127,546      130,121
517190         123,202      125,259
517190         122,491      125,646
517190         123,593      126,001
517190         125,386      127,185
517190         124,524      126,692
517190         122,986      125,152
517190         123,707      125,767
517190         122,154      124,559
517190         120,133      121,348
517190         121,802      123,279
517190         124,549      126,95
